trait,umbrella,agreement,flag,claude,gpt5,gemini,deepseek,grok
alk fusion,ALK Mutation Status,5/5,🟢,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status
alk fusion status,ALK Mutation Status,5/5,🟢,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status
alk gene translocation status,ALK Mutation Status,5/5,🟢,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status
alk mutation,ALK Mutation Status,5/5,🟢,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status
alk rearrangement,ALK Mutation Status,5/5,🟢,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status
alk status,ALK Mutation Status,5/5,🟢,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status
alk translocation,ALK Mutation Status,5/5,🟢,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status,ALK Mutation Status
ast/alt,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
ability to safely receive investigational and soc regimens,Treatment Amenability,4/5,🟢,Treatment Amenability,Treatment Contraindications,Treatment Amenability,Treatment Amenability,Treatment Amenability
ability to swallow oral medication,Gastrointestinal Function,5/5,🟢,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function
absence of identifiable primary tumor or nodal disease,Primary Tumor Characteristics,5/5,🟢,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics
absolute neutrophil count,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
actionable mutations,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
active infection,Active Infection,5/5,🟢,Active Infection,Active Infection,Active Infection,Active Infection,Active Infection
active infections,Active Infection,5/5,🟢,Active Infection,Active Infection,Active Infection,Active Infection,Active Infection
active tuberculosis,Tuberculosis,5/5,🟢,Tuberculosis,Tuberculosis,Tuberculosis,Tuberculosis,Tuberculosis
acute coronary syndrome,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
acute disease,Intercurrent Illness,5/5,🟢,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness
additional malignancy,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
adenocarcinoma or undifferentiated carcinoma histology,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
adjuvant chemotherapy tolerance,Treatment-Related Toxicity,2/5,🔴,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment Amenability,Adjuvant/Neoadjuvant Therapy,Treatment Amenability
adjuvant/neoadjuvant therapy,Adjuvant/Neoadjuvant Therapy,5/5,🟢,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy,Adjuvant/Neoadjuvant Therapy
advanced refractory solid tumors,Advanced/Refractory Disease,5/5,🟢,Advanced/Refractory Disease,Advanced/Refractory Disease,Advanced/Refractory Disease,Advanced/Refractory Disease,Advanced/Refractory Disease
age,Age,5/5,🟢,Age,Age,Age,Age,Age
age 18-75 years,Age,5/5,🟢,Age,Age,Age,Age,Age
age ≥18 years,Age,5/5,🟢,Age,Age,Age,Age,Age
allogeneic transplant,Transplant History,5/5,🟢,Transplant History,Transplant History,Transplant History,Transplant History,Transplant History
alpha-fetoprotein level,Tumor Markers,5/5,🟢,Tumor Markers,Tumor Markers,Tumor Markers,Tumor Markers,Tumor Markers
amenability to consolidation immunotherapy,Treatment Amenability,5/5,🟢,Treatment Amenability,Treatment Amenability,Treatment Amenability,Treatment Amenability,Treatment Amenability
anti-hepatitis b core antibody,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
anticoagulant treatment,Anticoagulation Therapy,5/5,🟢,Anticoagulation Therapy,Anticoagulation Therapy,Anticoagulation Therapy,Anticoagulation Therapy,Anticoagulation Therapy
anticoagulation treatment,Anticoagulation Therapy,5/5,🟢,Anticoagulation Therapy,Anticoagulation Therapy,Anticoagulation Therapy,Anticoagulation Therapy,Anticoagulation Therapy
arterial thrombotic events,Thrombotic Events,5/5,🟢,Thrombotic Events,Thrombotic Events,Thrombotic Events,Thrombotic Events,Thrombotic Events
autoimmune disease,Autoimmune Disease,5/5,🟢,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease
autoimmune disease or immune deficiency,Autoimmune Disease,4/5,🟢,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Immunosuppression/Immunodeficiency,Autoimmune Disease
autoimmune diseases,Autoimmune Disease,5/5,🟢,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease
autoimmune disorder,Autoimmune Disease,5/5,🟢,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease
autoimmune disorders,Autoimmune Disease,5/5,🟢,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease
autoimmune/inflammatory disorders,Autoimmune Disease,5/5,🟢,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease
bevacizumab treatment continuity,Prior Anti-VEGF Therapy,5/5,🟢,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy,Prior Anti-VEGF Therapy
bilirubin,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
bleeding disorders,Bleeding/Coagulation Disorders,5/5,🟢,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders
blood pressure control,Blood Pressure/Hypertension,5/5,🟢,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension,Blood Pressure/Hypertension
body weight,Body Weight and Nutritional Status,5/5,🟢,Body Weight and Nutritional Status,Body Weight and Nutritional Status,Body Weight and Nutritional Status,Body Weight and Nutritional Status,Body Weight and Nutritional Status
brain mri or ct prior to registration,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
brain imaging,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
brain metastases,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
cns metastases,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
copd with respiratory failure,Pulmonary Function,5/5,🟢,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function
crt sequence,Prior Chemoradiation,3/5,🟡,Prior Chemoradiation,Treatment Timing,Treatment Timing,Prior Chemoradiation,Prior Chemoradiation
ct chest with iv contrast or pet/ct,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
cyp3a4 inhibitors/inducers,Drug Interactions,5/5,🟢,Drug Interactions,Drug Interactions,Drug Interactions,Drug Interactions,Drug Interactions
carcinomatous meningitis,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
cardiac aneurysms,Cardiac Function,3/5,🟡,Cardiac Function,Vascular Conditions,Cardiac Function,Cardiac Function,Vascular Conditions
cardiac conditions,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
cardiac disease,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
cardiac disease history,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
cardiac function,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
cardiovascular disease,Cardiac Function,4/5,🟢,Cardiac Function,Vascular Conditions,Cardiac Function,Cardiac Function,Cardiac Function
centrally located primary tumor <2 cm from nodal disease (overlap risk),Primary Tumor Characteristics,5/5,🟢,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics
chemotherapy cycles,Prior Chemotherapy,5/5,🟢,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy
chemotherapy timing,Treatment Timing,5/5,🟢,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing
child-pugh classification,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
chronic immunosuppression,Immunosuppression/Immunodeficiency,5/5,🟢,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
cisplatin-based chemotherapy,Prior Chemotherapy,5/5,🟢,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy,Prior Chemotherapy
coagulation disorders,Bleeding/Coagulation Disorders,5/5,🟢,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders
complete resection,Surgical Resectability/Status,5/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
concurrent hbv/hcv,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
concurrent anti-cancer therapy,Concurrent Anti-Cancer Therapy,5/5,🟢,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy
concurrent antineoplastic therapy,Concurrent Anti-Cancer Therapy,5/5,🟢,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy,Concurrent Anti-Cancer Therapy
concurrent clinical trials,Investigational Study Participation,5/5,🟢,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation
concurrent/prior malignancy,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
consent compliance,Study Compliance,3/5,🟡,Informed Consent,Study Compliance,Study Compliance,Informed Consent,Study Compliance
