umbrella,final_category,agreement,flag,claude,gpt5,gemini,deepseek,grok
Age,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Sex,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Performance Status,PREDICTABLE_AND_NECESSARY,5/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY
Life Expectancy,PREDICTABLE_AND_NECESSARY,5/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY
Body Weight and Nutritional Status,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Smoking Status,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
ALK Mutation Status,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
EGFR Mutation Status,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
ROS1 Rearrangement Status,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
KRAS/STK11/KEAP1 Mutation Status,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
Actionable Genomic Alterations,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
PD-L1 Expression Status,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
HER2 Status,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
MRD Status,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
Tumor Histology,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Disease Stage,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Diagnosis Confirmation,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Primary Tumor Characteristics,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Measurable Disease,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY
Metastatic Disease Status,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Residual Disease,PREDICTABLE_AND_NECESSARY,5/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY
Disease Progression,PREDICTABLE_AND_NECESSARY,5/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY
Disease Recurrence,PREDICTABLE_AND_NECESSARY,5/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY
Brain/CNS Metastases,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
